id,text_raw,text_norm,label_silver,cs_ratio,label_gold
atlaset_47568,"باش ندخلو آراء مختلفة على قضية اجتماعية معقدة فالحجة، الكاتب يقدر يتبع طريقة منهجية لي كتشمل الخطوات التالية:

1. البحث وجمع المعلومات من مصادر موثوقة مختلفة لي عندها وجهات نظر مختلفة على القضية الاجتماعية. هادشي كيشمل المجلات الأكاديمية، الجرايد، الكتب، والمواقع الإلكترونية الموثوقة.

2. تقييم مصداقية المصادر من خلال النظر فمؤهلات الكاتب، سمعة الناشر، وتاريخ النشر. خاص نستعملو غير المصادر لي عندها سمعة قوية ومرتبطة بالقضية الاجتماعية لي كنناقشو.

3. تحديد الآراء أو الحجج المختلفة لي كيقدموها المصادر. هادشي يمكن يتم من خلال قراءة المقالات بعناية وتدوين الملاحظات على الحجج والأدلة المختلفة لي تم تقديمها.

4. تحليل صحة الحجج من خلال النظر فالأدلة المقدمة، المنطق وراء الحجة، والصلة بالقضية الاجتماعية لي كنناقشو.

5. تنظيم المعلومات لي تم جمعها وتحديد النقط الرئيسية لكل حجة. مهم نتأكدو بلي الحجج المقدمة مرتبطة منطقيا وكتنتقل بشكل مزيان من وحدة للأخرى.

6. تطوير جملة الأطروحة لي كتدمج وجهة نظر الكاتب على القضية الاجتماعية وكتعترف بالآراء المختلفة لي تم تقديمها. هاد الجملة خاصها تعطي ملخص واضح وموجز لحجة الكاتب مع الاعتراف بتعقيد القضية الاجتماعية.

7. استخدام الأدلة لي تم جمعها لدعم حجة الكاتب ودحض الحجج المضادة. مهم نستشهدو بالمصادر بطريقة متناسقة ومناسبة ونستعملو الاقتباسات بشكل محدود.

8. ختم المقال بتلخيص النقط الرئيسية وإعادة صياغة جملة الأطروحة بطريقة لي كتبين كيفاش الأدلة المقدمة كتدعم حجة الكاتب.

من خلال اتباع هاد الطريقة المنهجية، الكتاب يقدرو يدخلو آراء مختلفة على قضية اجتماعية معقدة فالحجة ديالهم مع الحفاظ على تسلسل منطقي والاستشهاد بمصادر موثوقة لي كتدعم الموقف ديالهم.",باش ندخلو اراء مختلفه علي قضيه اجتماعيه معقده فالحجه، الكاتب يقدر يتبع طريقه منهجيه لي كتشمل الخطوات التاليه: 1. البحث وجمع المعلومات من مصادر موثوقه مختلفه لي عندها وجهات نظر مختلفه علي القضيه الاجتماعيه. هادشي كيشمل المجلات الاكاديميه، الجرايد، الكتب، والمواقع الالكترونيه الموثوقه. 2. تقييم مصداقيه المصادر من خلال النظر فمؤهلات الكاتب، سمعه الناشر، وتاريخ النشر. خاص نستعملو غير المصادر لي عندها سمعه قويه ومرتبطه بالقضيه الاجتماعيه لي كنناقشو. 3. تحديد الاراء او الحجج المختلفه لي كيقدموها المصادر. هادشي يمكن يتم من خلال قراءه المقالات بعنايه وتدوين الملاحظات علي الحجج والادله المختلفه لي تم تقديمها. 4. تحليل صحه الحجج من خلال النظر فالادله المقدمه، المنطق وراء الحجه، والصله بالقضيه الاجتماعيه لي كنناقشو. 5. تنظيم المعلومات لي تم جمعها وتحديد النقط الرئيسيه لكل حجه. مهم نتاكدو بلي الحجج المقدمه مرتبطه منطقيا وكتنتقل بشكل مزيان من وحده للاخري. 6. تطوير جمله الاطروحه لي كتدمج وجهه نظر الكاتب علي القضيه الاجتماعيه وكتعترف بالاراء المختلفه لي تم تقديمها. هاد الجمله خاصها تعطي ملخص واضح وموجز لحجه الكاتب مع الاعتراف بتعقيد القضيه الاجتماعيه. 7. استخدام الادله لي تم جمعها لدعم حجه الكاتب ودحض الحجج المضاده. مهم نستشهدو بالمصادر بطريقه متناسقه ومناسبه ونستعملو الاقتباسات بشكل محدود. 8. ختم المقال بتلخيص النقط الرئيسيه واعاده صياغه جمله الاطروحه بطريقه لي كتبين كيفاش الادله المقدمه كتدعم حجه الكاتب. من خلال اتباع هاد الطريقه المنهجيه، الكتاب يقدرو يدخلو اراء مختلفه علي قضيه اجتماعيه معقده فالحجه ديالهم مع الحفاظ علي تسلسل منطقي والاستشهاد بمصادر موثوقه لي كتدعم الموقف ديالهم.,AR_DAR,0.0,AR_DAR
atlaset_52519,على طريقة أفيخاي الصهيوني 👌,علي طريقه افيخاي الصهيوني 👌,AR_MSA,0.0,AR_MSA
atlaset_43748,هاد المنتدى فيه معلومات مفيدة بزاف.,هاد المنتدي فيه معلومات مفيده بزاف.,AR_DAR,0.0,AR_DAR
fren_1085,Easy to purchase. Right product. Great quality. As described.,easy to purchase. right product. great quality. as described.,EN,0.0,EN
mix_arabizi_677f1a203c7d,kolchi ready? khassna n'finaliser le rapport,kolchi ready? khassna n'finaliser le rapport,MIX,0.3,MIX
atlaset_34521,واش الأماكن فين كنستعملو `timestamp` في عمليات القسمة والباقي مازال ماشي عمليات 64-bit؟,واش الاماكن فين كنستعملو `timestamp` في عمليات القسمه والباقي مازال ماشي عمليات 64-bit؟,AR_DAR,0.15384615384615385,AR_DAR
atlaset_38447,"الراجل گالس حدا شجرة اللي كاينة فالرصيف.
الجواب هو آه.",الراجل گالس حدا شجره اللي كاينه فالرصيف. الجواب هو اه.,AR_DAR,0.0,AR_DAR
mix_arabizi_ef1b8673f132,khassni n'verifier le facture avant le schedule dyal ghda,khassni n'verifier le facture avant le schedule dyal ghda,MIX,0.3,MIX
TRAIN_13482,لاجضران لاجرته خش للنار ابكرعيه جايه الحك,لاجضران لاجرته خش للنار ابكرعيه جايه الحك,AR_MSA,0.0,AR_DAR
atlaset_4861,"كيفاش
تعاقد فريق مولودية وجدة لكرة القدم، الصاعد حديثا إلى القسم الأول، مع لاعبين خلال فترة الانتقالات الصيفية الحالية، وهم خالد لبهيج ومصطفى العلاوي.
وحسب مصدر مطلع، فإن مولودية وجدة تعاقد مع لبهيج لمدة 3 مواسم، في حين وقع العلاوي عقدا يمتد لموسمين فقط.
ويسعى الفريق الوجدي إلى انتداب عدد من اللاعبين خلال الميركاتو الصيفي، من أجل تحقيق نتائج إيجابية في الموسم المقبل.
- لطرد النحس.. أزارو ذبح عجل!
- كان باغي 900 مليون ساعة تقلبات عليه الدعوة.. فاخر خسر دعوتو!
- الوينرز في رسالة إلى لاعبي الوداد: التأهل غادي يفرح اللي مشدود فالحبس والمريض واللي مأزم!
- قرينا بكري.. كيتفرج فالماتش ديال الرجاء وسط القسم!
- بسبب الضرب والكلام النابي.. عقوبات ضد دايو والجرموني وعطوشي
- على داك الشي اللي وقع فدونور.. ""كازا إيفنت"" دايرة تحقيق
- بالوثائق.. الوداد ينشر مستحقات اللاعبين
- زيرو بلاصة خاوية فماتش الوداد واتحاد العاصمة الجزائري.. دونور غادي يدور!!
- وليد الركراكي لجمهور الفتح: أجيو تتفرجو أنا متشوق لأسمع عبارة ""سير سير""!!","كيفاش تعاقد فريق مولوديه وجده لكره القدم، الصاعد حديثا الي القسم الاول، مع لاعبين خلال فتره الانتقالات الصيفيه الحاليه، وهم خالد لبهيج ومصطفي العلاوي. وحسب مصدر مطلع، فان مولوديه وجده تعاقد مع لبهيج لمده 3 مواسم، في حين وقع العلاوي عقدا يمتد لموسمين فقط. ويسعي الفريق الوجدي الي انتداب عدد من اللاعبين خلال الميركاتو الصيفي، من اجل تحقيق نتائج ايجابيه في الموسم المقبل. - لطرد النحس.. ازارو ذبح عجل! - كان باغي 900 مليون ساعه تقلبات عليه الدعوه.. فاخر خسر دعوتو! - الوينرز في رساله الي لاعبي الوداد: التاهل غادي يفرح اللي مشدود فالحبس والمريض واللي مازم! - قرينا بكري.. كيتفرج فالماتش ديال الرجاء وسط القسم! - بسبب الضرب والكلام النابي.. عقوبات ضد دايو والجرموني وعطوشي - علي داك الشي اللي وقع فدونور.. ""كازا ايفنت"" دايره تحقيق - بالوثائق.. الوداد ينشر مستحقات اللاعبين - زيرو بلاصه خاويه فماتش الوداد واتحاد العاصمه الجزائري.. دونور غادي يدور!! - وليد الركراكي لجمهور الفتح: اجيو تتفرجو انا متشوق لاسمع عباره ""سير سير""!!",AR_DAR,0.0,AR_DAR
